frame,timestamp_ms,left_detected,right_detected,left_0_x,left_0_y,left_0_z,left_1_x,left_1_y,left_1_z,left_2_x,left_2_y,left_2_z,left_3_x,left_3_y,left_3_z,left_4_x,left_4_y,left_4_z,left_5_x,left_5_y,left_5_z,left_6_x,left_6_y,left_6_z,left_7_x,left_7_y,left_7_z,left_8_x,left_8_y,left_8_z,left_9_x,left_9_y,left_9_z,left_10_x,left_10_y,left_10_z,left_11_x,left_11_y,left_11_z,left_12_x,left_12_y,left_12_z,left_13_x,left_13_y,left_13_z,left_14_x,left_14_y,left_14_z,left_15_x,left_15_y,left_15_z,left_16_x,left_16_y,left_16_z,left_17_x,left_17_y,left_17_z,left_18_x,left_18_y,left_18_z,left_19_x,left_19_y,left_19_z,left_20_x,left_20_y,left_20_z,right_0_x,right_0_y,right_0_z,right_1_x,right_1_y,right_1_z,right_2_x,right_2_y,right_2_z,right_3_x,right_3_y,right_3_z,right_4_x,right_4_y,right_4_z,right_5_x,right_5_y,right_5_z,right_6_x,right_6_y,right_6_z,right_7_x,right_7_y,right_7_z,right_8_x,right_8_y,right_8_z,right_9_x,right_9_y,right_9_z,right_10_x,right_10_y,right_10_z,right_11_x,right_11_y,right_11_z,right_12_x,right_12_y,right_12_z,right_13_x,right_13_y,right_13_z,right_14_x,right_14_y,right_14_z,right_15_x,right_15_y,right_15_z,right_16_x,right_16_y,right_16_z,right_17_x,right_17_y,right_17_z,right_18_x,right_18_y,right_18_z,right_19_x,right_19_y,right_19_z,right_20_x,right_20_y,right_20_z
10,500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,550,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,650,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,700,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,750,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17928546667099,0.7417211532592773,1.022209289658349e-06,0.23766514658927917,0.7600120902061462,-0.03375839442014694,0.2769008278846741,0.823127269744873,-0.06798955798149109,0.2753256559371948,0.899373471736908,-0.0984988659620285,0.27163833379745483,0.9543079137802124,-0.12835897505283356,0.25147101283073425,0.7369024753570557,-0.09691513329744339,0.27281510829925537,0.8463616967201233,-0.13107018172740936,0.27596595883369446,0.9180892109870911,-0.1534477323293686,0.27356836199760437,0.9789941906929016,-0.16947448253631592,0.1876836121082306,0.7316231727600098,-0.09960585087537766,0.1739896684885025,0.8883125185966492,-0.14026474952697754,0.17309065163135529,0.9841265082359314,-0.1524772346019745,0.17116370797157288,1.051164150238037,-0.16425412893295288,0.13556915521621704,0.7478026747703552,-0.10059890151023865,0.13640624284744263,0.8982124328613281,-0.12488556653261185,0.1551840603351593,0.9019310474395752,-0.11244222521781921,0.1669934093952179,0.871078610420227,-0.1067599281668663,0.10140956938266754,0.7767603993415833,-0.1059785857796669,0.10643868148326874,0.8937742114067078,-0.11788468807935715,0.12843307852745056,0.8945798873901367,-0.10607747733592987,0.14368736743927002,0.862969160079956,-0.10006147623062134
16,800,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12741190195083618,0.7432710528373718,9.587486147211166e-07,0.19567830860614777,0.7547333240509033,-0.02958117425441742,0.23348096013069153,0.76999431848526,-0.0646333396434784,0.2361403852701187,0.8007365465164185,-0.09618835151195526,0.23056486248970032,0.8087641596794128,-0.125014528632164,0.2550331652164459,0.6696799397468567,-0.07427187263965607,0.2867285907268524,0.7687762379646301,-0.11218997836112976,0.29712486267089844,0.8391121625900269,-0.14081652462482452,0.30256181955337524,0.8959308862686157,-0.16066692769527435,0.20670393109321594,0.6641919016838074,-0.07819206267595291,0.20098203420639038,0.8334465026855469,-0.11976182460784912,0.2019249051809311,0.9180484414100647,-0.13060016930103302,0.2015763372182846,0.9771035313606262,-0.13651488721370697,0.15626278519630432,0.6866171360015869,-0.08246319741010666,0.16102959215641022,0.8367626070976257,-0.10320007801055908,0.175374835729599,0.828155517578125,-0.08504265546798706,0.18219922482967377,0.7949596643447876,-0.07273910194635391,0.11395466327667236,0.7174362540245056,-0.09195014089345932,0.12352753430604935,0.8369737267494202,-0.10502228885889053,0.14363303780555725,0.8267015218734741,-0.09200438112020493,0.15687628090381622,0.7909178733825684,-0.08041097968816757
17,850,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14673306047916412,0.7392544150352478,4.0773116438685975e-07,0.205405130982399,0.7592560052871704,-0.027927620336413383,0.23924437165260315,0.7762661576271057,-0.059763211756944656,0.24566683173179626,0.7979706525802612,-0.08959298580884933,0.2470364272594452,0.8027563095092773,-0.11837463825941086,0.28515899181365967,0.6631142497062683,-0.0633634552359581,0.2986646890640259,0.7451607584953308,-0.11180362105369568,0.3042127192020416,0.8128001093864441,-0.14599472284317017,0.30748695135116577,0.8667474389076233,-0.16628219187259674,0.23495715856552124,0.6386979222297668,-0.07019898295402527,0.21667367219924927,0.7828426361083984,-0.12633518874645233,0.20923151075839996,0.8830843567848206,-0.14308413863182068,0.20446479320526123,0.951627790927887,-0.1460505872964859,0.17930877208709717,0.6420632600784302,-0.07935623079538345,0.16727182269096375,0.7889965176582336,-0.11643224954605103,0.176140695810318,0.8124638795852661,-0.10748761892318726,0.18375107645988464,0.804363489151001,-0.09532932937145233,0.12998047471046448,0.6634107828140259,-0.09251070022583008,0.12920990586280823,0.7791929244995117,-0.11590828746557236,0.14178723096847534,0.795869767665863,-0.10862603783607483,0.15401260554790497,0.780626654624939,-0.09759464114904404
18,900,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16350558400154114,0.6989880800247192,2.73126516958655e-07,0.22005195915699005,0.7154191136360168,-0.03297942876815796,0.2566032409667969,0.7288825511932373,-0.06502249836921692,0.2667073607444763,0.7490867376327515,-0.09449368715286255,0.26509228348731995,0.7583882808685303,-0.1214185357093811,0.2911086976528168,0.6380680799484253,-0.06488901376724243,0.30168676376342773,0.7239710092544556,-0.11881637573242188,0.30759328603744507,0.792120099067688,-0.1555463671684265,0.3136489689350128,0.8471002578735352,-0.17572163045406342,0.23842807114124298,0.6182945370674133,-0.06939195841550827,0.21621941030025482,0.7645428776741028,-0.1274644434452057,0.2104041874408722,0.849220335483551,-0.14079444110393524,0.20801709592342377,0.9072739481925964,-0.14047101140022278,0.18425053358078003,0.6232641339302063,-0.07794135063886642,0.17454063892364502,0.769673228263855,-0.116694375872612,0.1863057017326355,0.7798642516136169,-0.10602407157421112,0.1972198337316513,0.7643560171127319,-0.09156046062707901,0.1378466933965683,0.6444060802459717,-0.09145639091730118,0.1385396420955658,0.761171281337738,-0.11636707186698914,0.15327687561511993,0.7708781957626343,-0.11027916520833969,0.1681041121482849,0.7511391043663025,-0.09918256849050522
19,950,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703413724899292,0.6687056422233582,3.3748403893696377e-07,0.22455188632011414,0.6852067112922668,-0.02779640257358551,0.2559266686439514,0.6962812542915344,-0.0582825168967247,0.26482945680618286,0.705460250377655,-0.08619456738233566,0.26921379566192627,0.7035717964172363,-0.11138874292373657,0.2918856143951416,0.599604070186615,-0.06319490075111389,0.30917200446128845,0.6869931817054749,-0.11184494197368622,0.3169345259666443,0.7527670860290527,-0.14621657133102417,0.3201642632484436,0.8072773218154907,-0.16635344922542572,0.24334070086479187,0.5797649025917053,-0.06886454671621323,0.2250909060239792,0.7384622693061829,-0.12342966347932816,0.2165382206439972,0.8266217708587646,-0.1361606866121292,0.20823943614959717,0.8891400694847107,-0.13620314002037048,0.1906951516866684,0.589280366897583,-0.07711422443389893,0.1787603348493576,0.7280007004737854,-0.1109749972820282,0.19194547832012177,0.721617579460144,-0.09911186993122101,0.2004156857728958,0.6952688097953796,-0.08585967868566513,0.14265964925289154,0.6138989329338074,-0.08984892815351486,0.1422160416841507,0.7280564904212952,-0.11242987960577011,0.1587420403957367,0.7262669801712036,-0.10509514063596725,0.17181354761123657,0.6980288624763489,-0.09405522793531418
